Summer,Category,Constructs,Subconstructs,Instrument,Subjects,Q#,N,Variable Name,Trigger,Order,Question,Question (Chinese),Reverse,Response rule,Response rule（Chinese）,Ans_Value,Ans1,Ans2,Ans3,Ans4,Ans5,Ans6,Ans7,Ans 1 (Chinese),Ans 2 (Chinese),Ans 3 (Chinese),Ans 4 (Chinese),Ans 5 (Chinese),Ans 6 (Chinese),Ans 7 (Chinese),,Scenario,Difficulty,notes,,,,,,,,,,
0,Background,Middle School,school,UES,P,P-Back-Midd-schoo,6,P-Back-Midd-schoo6,if P-Back-Midd-schoo2=1,NA,Please choose your child's school from the list,请在下列菜单选择您孩子所在学校,,choose one,,add list,add list,,,,,,,,,,,,,,,,Information,,,,,,,,,,,
0,Disability in Learning,ADHD,Hyperactivity-Impulsivity ,ADHD Rating Scale-IV: Home Version,P,P-Disa-ADHD-Hyper,1,P-Disa-ADHD-Hyper1,,NA,Fidgets with hands or feet or squirms in seat.,在座位上感到坐立不安，手脚乱动。,,choose one,,"(0,0,1,2,3）",Never,Rarely,Sometimes,Often,Always,,,从不,很少,有时,经常,总是,,,,,Evaluation,,,,,,,,,,,
0,Disability in Learning,ADHD,Hyperactivity-Impulsivity ,ADHD Rating Scale-IV: Home Version,P,P-Disa-ADHD-Hyper,2,P-Disa-ADHD-Hyper2,,NA,Leaves in situations in which remaining seated is expected.,当要求坐好时（如在吃饭时）还是会离开座位。,,choose one,,"(0,0,1,2,3）",Never,Rarely,Sometimes,Often,Always,,,从不,很少,有时,经常,总是,,,,,Evaluation,,,,,,,,,,,
0,Disability in Learning,ADHD,Hyperactivity-Impulsivity ,ADHD Rating Scale-IV: Home Version,P,P-Disa-ADHD-Hyper,3,P-Disa-ADHD-Hyper3,,NA,Runs about or climbs excessively in situations in which it is inappropriate.,在不合时宜的时候做出一些多余的举动。,,choose one,,"(0,0,1,2,3）",Never,Rarely,Sometimes,Often,Always,,,从不,很少,有时,经常,总是,,,,,Evaluation,,,,,,,,,,,
0,Disability in Learning,ADHD,Hyperactivity-Impulsivity ,ADHD Rating Scale-IV: Home Version,P,P-Disa-ADHD-Hyper,4,P-Disa-ADHD-Hyper4,,NA,Has difficulty playing or engaging in leisure activities quietly.,很难安静的做自己的事情。,,choose one,,"(0,0,1,2,3）",Never,Rarely,Sometimes,Often,Always,,,从不,很少,有时,经常,总是,,,,,Evaluation,,,,,,,,,,,
0,Disability in Learning,ADHD,Hyperactivity-Impulsivity ,ADHD Rating Scale-IV: Home Version,P,P-Disa-ADHD-Hyper,5,P-Disa-ADHD-Hyper5,,NA,Is “on the go” or acts as if “driven by a motor.”,忙个不停像是装了马达一样。,,choose one,,"(0,0,1,2,3）",Never,Rarely,Sometimes,Often,Always,,,从不,很少,有时,经常,总是,,,,,Evaluation,,,,,,,,,,,
0,Disability in Learning,ADHD,Hyperactivity-Impulsivity ,ADHD Rating Scale-IV: Home Version,P,P-Disa-ADHD-Hyper,6,P-Disa-ADHD-Hyper6,,NA,Talks excessively.,话说个不停。,,choose one,,"(0,0,1,2,3）",Never,Rarely,Sometimes,Often,Always,,,从不,很少,有时,经常,总是,,,,,Evaluation,,,,,,,,,,,
0,Disability in Learning,ADHD,Hyperactivity-Impulsivity ,ADHD Rating Scale-IV: Home Version,P,P-Disa-ADHD-Hyper,7,P-Disa-ADHD-Hyper7,,NA,Blurts out answers even before questions have been completed.,问题还没听完就抢着回答。,,choose one,,"(0,0,1,2,3）",Never,Rarely,Sometimes,Often,Always,,,从不,很少,有时,经常,总是,,,,,Evaluation,,,,,,,,,,,
0,Disability in Learning,ADHD,Hyperactivity-Impulsivity ,ADHD Rating Scale-IV: Home Version,P,P-Disa-ADHD-Hyper,8,P-Disa-ADHD-Hyper8,,NA,Has difficulty awaiting turn.,在等待（如排队时）时觉得不耐烦。,,choose one,,"(0,0,1,2,3）",Never,Rarely,Sometimes,Often,Always,,,从不,很少,有时,经常,总是,,,,,Evaluation,,,,,,,,,,,
0,Disability in Learning,ADHD,Hyperactivity-Impulsivity ,ADHD Rating Scale-IV: Home Version,P,P-Disa-ADHD-Hyper,9,P-Disa-ADHD-Hyper9,,NA,Interrupts or intrudes on others.,打断别人说话。,,choose one,,"(0,0,1,2,3）",Never,Rarely,Sometimes,Often,Always,,,从不,很少,有时,经常,总是,,,,,Evaluation,,,,,,,,,,,
0,Disability in Learning,Reading Disability,#prompts,Reading Disability Adult Checklist,P,P-Disa-Read-#prom,1,P-Disa-Read-#prom1,,NA,How often do you observe the following behavior in your child?,请问您的孩子是否有以下这些情况。 如果有，有多频繁。,,,,,,,,,,,,,,,,,,,,,Evaluation,,,,,,,,,,,
0,Disability in Learning,Reading Disability,RD,Reading Disability Adult Checklist,P,P-Disa-Read-RD,1,P-Disa-Read-RD1,,NA,Your child must repeatedly read and reread material in order to understand it.,需要重复读好几遍才能读懂所读的内容。,,choose one,,"(0,0,1,2,3）",Never,Rarely,Sometimes,Often,Always,,,从不,很少,有时,经常,总是,,,,2,Evaluation,,,,,,,,,,,
0,Disability in Learning,Reading Disability,RD,Reading Disability Adult Checklist,P,P-Disa-Read-RD,2,P-Disa-Read-RD2,,NA,Your child has extreme difficulty managing and keeping track of homework assignments and deadlines for his various classes.,无法按时完成作业。,,choose one,,"(0,0,1,2,3）",Never,Rarely,Sometimes,Often,Always,,,从不,很少,有时,经常,总是,,,,2,Evaluation,,,,,,,,,,,
0,Disability in Learning,Reading Disability,RD,Reading Disability Adult Checklist,P,P-Disa-Read-RD,3,P-Disa-Read-RD3,,NA,Your child repeatedly reports that he was unaware of assignments and deadlines because the teacher “never told” him what was required.,常常反复告诉您他并不知道一些作业要交，因为“老师没说过什么时候交”。,,choose one,,"(0,0,1,2,3）",Never,Rarely,Sometimes,Often,Always,,,从不,很少,有时,经常,总是,,,,2,Evaluation,,,,,,,,,,,
0,Disability in Learning,Reading Disability,RD,Reading Disability Adult Checklist,P,P-Disa-Read-RD,4,P-Disa-Read-RD4,,NA,Your child has unexpected difficulty with learning a foreign language.,对于学习外语极其地抗拒。,,choose one,,"(0,0,1,2,3）",Never,Rarely,Sometimes,Often,Always,,,从不,很少,有时,经常,总是,,,,2,Evaluation,,,,,,,,,,,
