"","Variable_Name"
"1","African American 
                  Studies"
"2","African and Middle Eastern Studies"
"4","American Indian Studies"
"5","American Literature and Culture"
"6","Ancient Near East and Egyptology"
"7","Anthropology"
"8","Anthropology"
"9","Arabic"
"10","Art History"
"11","Asian American Studies"
"12","Asian Humanities "
"13","Asian Languages and Linguistics"
"14","Asian Religions"
"15","Asian Studies"
"17","Astrophysics"
"18","Atmospheric and Oceanic Sciences"
"19","Atmospheric and Oceanic Sciences/Mathematics"
"20","Biochemistry"
"21","Biology"
"23","Biophysics"
"24","Business Economics"
"26","Central and East European Languages and Cultures"
"27","Chemistry"
"28","Chemistry/Materials Science"
"29","Chicana and Chicano Studies"
"30","Chinese"
"31","Classical Civilization"
"32","Climate Science"
"33","Cognitive Science"
"35","Communication"
"37","Comparative Literature"
"38","Computational and Systems Biology"
"40","Earth and Environmental Science"
"41","Ecology Behavior and Evolution"
"43","Economics"
"45","Engineering Geology"
"46","English"
"48","Environmental Science"
"49","European Studies"
"51","French"
"52","French and Linguistics"
"53","Gender Studies"
"54","Geography"
"55","Geography/Environmental Studies"
"56","Geology"
"57","Geophysics"
"58","German"
"59","Global Studies"
"61","Greek"
"62","Greek and Latin"
"63","History"
"65","Human Biology and Society"
"67","Human Biology and Society"
"69","International Development Studies"
"71","Iranian Studies"
"72","Italian"
"73","Italian and Special Fields"
"74","Japanese"
"75","Jewish Studies"
"76","Korean"
"77","Latin"
"78","Latin American Studies"
"80","Linguistics"
"81","Linguistics and Anthropology"
"82","Linguistics and Asian Languages and Cultures"
"83","Linguistics and Computer Science"
"84","Linguistics and English"
"85","Linguistics and French"
"86","Linguistics and Italian"
"87","Linguistics and Philosophy"
"88","Linguistics and Psychology"
"89","Linguistics and Scandinavian Languages"
"90","Linguistics and Spanish"
"91","Linguistics Applied"
"92","Marine Biology"
"94","Mathematics"
"96","Mathematics Applied"
"98","Mathematics/Applied Science"
"100","Mathematics/Economics"
"102","Mathematics Financial Actuarial"
"104","Mathematics for Teaching"
"106","Mathematics of Computation"
"108","Microbiology Immunology and Molecular Genetics"
"110","Middle Eastern Studies"
"111","Molecular Cell and Developmental Biology"
"113","Neuroscience"
"115","Nordic Studies"
"116","Philosophy"
"117","Physics"
"119","Physics"
"120","Physiological Science"
"122","Political Science"
"124","Portuguese"
"125","Psychobiology"
"127","Psychology"
"129","Religion Study of"
"130","Russian Language and Literature"
"131","Russian Studies"
"132","Scandinavian Languages and Cultures"
"133","Sociology"
"135","Spanish"
"136","Spanish and Community and Culture"
"137","Spanish and Linguistics"
"138","Spanish and Portuguese"
"139","Statistics"
"141","Individual Field of Concentration"
